frame,length_top_mm,length_bottom_mm,width_top_mm,width_bottom_mm
0,1401.2245185827624,1389.1385270535425,376.38803525046836,613.9438588015818
1,1409.2448291488258,1394.395664173497,373.45833415610866,621.1314442406004
2,1403.451553528125,1393.1012863523438,380.3915858562054,608.7816847027998
3,1403.3029804843557,1388.2147106646714,375.89130714214923,615.8716667334367
4,1400.9300144540448,1389.5655705994675,378.0871657267997,612.3454913916636
5,1403.6143016961098,1392.1296919412673,381.86549455114545,607.124933083706
AVERAGE,1404.108736,1391.481385,377.938777,613.051044
