frame,length_top_mm,length_bottom_mm,width_top_mm,width_bottom_mm
0,1319.4876704027552,1295.783636640714,11.941499217529628,159.57642494296118
1,1306.568116362037,1291.0914256516382,25.17755212599551,127.38881050395024
2,1308.8803081183803,1292.5050872261065,23.195791375406742,124.61882176061692
3,1299.9791660597389,1286.392037009756,20.762591173910483,121.84874250771048
4,1299.6049317485163,1284.9274978622823,25.465021945737835,126.19526098864536
5,1300.3441517858535,1287.6878130401938,28.07576309131408,119.36721609448334
AVERAGE,1303.075335,1288.520772,24.535344,123.883770
