frame,length_top_mm,length_bottom_mm,width_top_mm,width_bottom_mm
0,1529.279438807624,1525.2998622626114,450.72765963182627,587.7528891883212
1,1534.2938720870154,1536.1016497331711,466.7801933069721,572.2016842431369
2,1533.8283458865785,1538.4451487129331,463.97977723663814,574.9757239232097
3,1534.2323036835157,1538.8975042858954,464.4410323001744,574.8280272265683
4,1534.1926184027982,1538.8894883137673,464.36884942052325,574.8889518700485
5,1532.3466499562674,1531.4297279186474,454.72278284345145,583.9498375492584
AVERAGE,1533.778758,1536.752704,462.858527,576.168845
