frame,length_top_mm,length_bottom_mm,width_top_mm,width_bottom_mm
0,1376.6011301721533,1363.900099071811,457.4971008918198,604.6554277340202
1,1372.301002661664,1358.76273196948,466.8686503664979,603.4083036642048
2,1368.7104951702295,1353.4906681336888,468.8776829067863,609.0651944329973
3,1370.754724955961,1357.548831586781,472.5711039143481,609.5470469920733
4,1368.0803531736008,1358.6735523791494,479.9843162440803,604.1879214893145
5,1369.3060069194694,1355.2229314638837,478.10147374840176,609.1914579265585
AVERAGE,1369.830517,1356.739743,473.280645,607.079985
