frame,length_top_mm,length_bottom_mm,width_top_mm,width_bottom_mm
0,1349.1936877246656,1333.2223160067133,460.6189947846288,621.785155418518
1,1365.0436631383122,1353.9721892863467,465.24269642251727,633.0679334539977
2,1365.9672733190914,1354.5681660893142,471.3058879188242,632.7318893092765
3,1363.1656487829785,1355.7951228622076,473.3361135141579,633.344908064449
4,1368.2318562692967,1361.4184785743967,477.2913523194462,622.9667137666454
5,1366.4975170491139,1359.7284556500963,476.15383677589983,630.553328135111
AVERAGE,1365.781192,1357.096482,472.665977,630.532955
