frame,P1-P2,P3-P4,P5-P6,P7-P8
0,650.1383330184647,631.4180586300321,125.04704119143022,486.1338383942299
1,38.44242076369067,51.16690750154113,87.48439240138919,462.8249984426878
2,37.594778028721706,50.13999252419042,88.12344976549909,464.01974060575355
3,27.015232033106013,17.56583001331929,113.06472490079769,472.2573640945044
4,31.640288001385525,20.04848416460344,123.79221712549517,481.0443958177858
5,26.673854051706137,159.42803543011308,307.8461178854709,579.2477438545919
AVERAGE,32.273315,59.669850,144.062180,491.878849
