frame,P1-P2,P3-P4,P5-P6,P7-P8
0,969.6937770011336,965.8072496187459,901.8058370470604,917.5469128832569
1,973.6447754089544,971.4112366104465,906.9593575124838,921.050054608479
2,972.4237086392942,971.2498277399632,912.1451091902532,913.603814783019
3,971.374345443351,965.8200626612619,904.2710325380955,915.7676195062281
4,970.7805668767298,969.4634230258456,910.2935166930951,920.8929193291555
5,969.5429360198661,966.9804044126981,909.5571916978485,918.4787876073896
AVERAGE,971.553266,968.984991,908.645242,917.958639
