frame,length_top_mm,length_bottom_mm,width_top_mm,width_bottom_mm
0,1428.1209272954802,1422.0087755322065,483.39239344998657,635.4140800473098
1,1427.7330844116507,1421.246999772239,485.063541386591,634.068717340044
2,1428.6939600739286,1419.5312003564027,482.4534706615976,635.6240368683841
3,1432.2896549005864,1419.989770179965,482.64605404090935,635.5594342184233
4,1433.7444770944423,1424.9288321403012,485.10735685476243,634.1848643896892
5,1429.4537377667912,1423.0702219928405,483.2473776480753,635.6806820394625
AVERAGE,1430.382983,1421.753405,483.703560,635.023547
