frame,P1-P2,P3-P4,P5-P6,P7-P8
0,2551.4607497270717,2545.395622728672,664.2872190270145,2311.4402084268313
1,1649.7794526691494,1650.9271029859362,685.5983539903458,779.7185674729681
2,947.6569014468661,948.5409296685556,695.5652177541555,786.7080180296809
3,546.9144482478578,548.4074025082982,707.3507863402263,798.7501170291532
4,545.3318818652826,546.8373352448496,708.3520528371731,815.4926566032851
5,541.6952316015705,539.6177507294092,706.6837541561882,827.3050784047024
AVERAGE,846.275583,846.866104,700.710033,801.594888
