frame,length_top_mm,length_bottom_mm,width_top_mm,width_bottom_mm
0,992.2676836098948,968.3259815049734,383.14474457401246,566.4601792643415
1,955.4214633084493,946.753221778066,376.33168521306425,550.2058138595462
2,1009.8367583577417,1000.846995869936,377.5020776826442,549.6030422941778
3,1008.6720631479624,1000.6997793932435,376.6025256804325,550.4938182940483
4,960.0077851019672,954.0909175474226,379.5033458040933,546.8455933245588
5,997.4101078972899,980.9797389576146,363.8879238744811,559.8719977688968
AVERAGE,986.269636,976.674131,374.765512,551.404053
