frame,P1-P2,P3-P4,P5-P6,P7-P8
0,822.5148985099994,808.6035216769925,690.0173523081543,772.7650366780547
1,831.6963158501641,817.5371223318297,690.1241300940474,782.8389276768305
2,832.9520379516941,821.0312952373607,690.5603305453404,781.0703677380369
3,832.4016846033579,818.1967316036449,690.986667538514,780.9636681083681
4,834.2487564881328,820.0532802686723,690.7682162236302,782.0832549909379
5,835.4158065885142,821.2226542966044,691.2986580377275,780.6669971474929
AVERAGE,833.342920,819.608217,690.747600,781.524643
