frame,length_top_mm,length_bottom_mm,width_top_mm,width_bottom_mm
0,864.5734758421421,855.1915479472477,416.7620922669093,580.3313256680361
1,774.9983717305902,763.9875937853494,425.79149865332386,574.390942191155
2,757.9943181100451,747.1872284420638,426.8118117840286,573.5998710636287
3,758.5471561900102,747.7261290061781,429.03290965722056,571.1481135809204
4,761.4847776214226,753.4634327500758,432.30706485547614,568.1577070897586
5,755.1401465347361,745.6040207404275,431.3240266878136,575.0983673474026
AVERAGE,778.79,768.86,427.00,573.79
