frame,P1-P2,P3-P4,P5-P6,P7-P8
0,924.9026307223592,904.7941161555086,845.6601825489147,971.2712113645468
1,925.2359637399009,906.5645348199366,853.4321342729064,977.6111824110686
2,927.1870488785133,924.0802209834486,854.4416987152507,972.5856245467158
3,928.0844394175051,925.618850101502,852.3033794822104,968.2964429348992
4,927.7661038431422,924.6455749718649,846.8948645418385,966.0172032858898
5,926.8073940452269,927.2286394000323,860.1717062178651,956.3080248984757
AVERAGE,927.016190,921.627564,853.448757,968.163696
