Schedule_ID,DZ_mm,W,H,Err_mean_mm,Err_P1P2_mm,Err_P3P4_mm,Err_P5P6_mm,Err_P7P8_mm
202511201026498851,1849.0,-10,-10,48.51331425000001,64.7097828,57.813429799999994,34.69630319999999,36.833741200000034
202511201026498851,1849.0,-10,-5,41.86046494999999,63.69649419999996,56.91238099999996,21.03074220000001,25.802242400000022
202511201026498851,1849.0,-10,0,33.51443835,59.662135599999985,52.744031799999995,10.431566599999996,11.220019400000023
202511201026498851,1849.0,-10,5,27.655102,56.554729599999995,49.640581399999995,3.527289800000017,0.8978071999999884
202511201026498851,1849.0,-10,10,31.29780975,53.22029179999997,46.15903640000001,12.724480600000016,13.087430199999995
202511201026498851,1849.0,-5,-10,40.58990230000001,52.10357500000002,45.19113960000002,30.996368800000006,34.068525799999996
202511201026498851,1849.0,-5,-5,32.9948053,49.188629799999966,42.404490800000005,17.019095600000036,23.367004999999995
202511201026498851,1849.0,-5,0,24.872900650000012,45.57198800000003,38.632927,5.966444000000024,9.320243600000003
202511201026498851,1849.0,-5,5,21.649876200000005,42.27040399999999,35.39132380000005,8.239685000000009,0.6980919999999742
202511201026498851,1849.0,-5,10,25.524980150000005,38.504509600000006,31.444333800000003,17.172951000000012,14.978126199999997
202511201026498851,1849.0,0,-10,33.35865025,41.00275960000001,34.17555339999999,28.4286118,29.827676199999996
202511201026498851,1849.0,0,-5,25.53083984999999,37.44686019999997,30.680365200000004,14.311219599999982,19.684914400000004
202511201026498851,1849.0,0,0,18.00391744999998,35.04502339999999,28.08661639999998,3.4971199999999727,5.386909999999989
202511201026498851,1849.0,0,5,17.835422549999997,31.467774200000008,24.507688799999983,10.096806399999991,5.269420800000011
202511201026498851,1849.0,0,10,22.146496600000006,28.675294799999982,21.513841,19.789262000000054,18.607588599999985
202511201026498851,1849.0,5,-10,24.715416550000008,26.797738200000026,19.843035600000007,24.760435199999982,27.460457200000018
202511201026498851,1849.0,5,-5,17.11545020000001,23.860156000000007,17.092227400000002,10.088849400000004,17.420568000000024
202511201026498851,1849.0,5,0,9.438308599999992,20.710687400000005,13.740470399999959,0.4354730000000018,2.8666036000000075
202511201026498851,1849.0,5,5,12.340711900000002,17.274762399999986,10.278364399999987,13.945324200000027,7.864396600000009
202511201026498851,1849.0,5,10,16.4004886,13.845101399999999,6.7873621999999845,24.399976200000015,20.5695146
202511201026498851,1849.0,10,-10,17.840715550000006,15.57593300000001,8.639157999999975,22.856070799999998,24.291700400000035
