frame,length_top_mm,length_bottom_mm,width_top_mm,width_bottom_mm
0,1726.3096500482998,1713.904044708057,93.31058648475074,298.0114126343915
1,1710.8593370881572,1692.7658680411387,104.74438070951858,297.49139282304503
2,1712.6621404686614,1695.1058121336641,106.1293267599303,296.1355162772136
3,1720.798745660853,1702.5682825629076,108.75021283983473,296.76190028260197
4,1708.2713758130249,1688.8599954713015,107.04125111422005,298.5062265258351
5,1704.8672944897803,1684.8878269467357,108.48421748706404,296.8983898338743
AVERAGE,1711.491779,1692.837557,107.029878,297.158685
